YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 08 03 00 270  7.7  9.8  0.30  2.00 99.00 999 1015.5   1.7   5.2  -5.7 99.0 99.00
2006 01 08 04 00 270  7.7 10.8  0.50  3.00 99.00 999 1015.3   1.9   5.2  -4.9 99.0 99.00
2006 01 08 05 00 280  7.7 10.3  0.60  3.00 99.00 999 1015.4   2.0   5.2  -4.5 99.0 99.00
2006 01 08 06 00 270  7.2  9.3  0.60  4.00 99.00 999 1015.6   2.3   5.1  -4.0 99.0 99.00
2006 01 08 07 00 260  6.2  7.7  0.70  4.00 99.00 999 1015.4   2.6   5.1  -3.1 99.0 99.00
2006 01 08 08 00 250  6.2  7.2  0.50  4.00 99.00 999 1014.9   3.0   5.1  -2.4 99.0 99.00
2006 01 08 09 00 230  6.2  8.2  0.50  4.00 99.00 999 1014.7   3.4   5.1  -1.6 99.0 99.00
2006 01 08 10 00 230  5.1  6.7  0.40  3.00 99.00 999 1015.2   3.7   5.1  -0.9 99.0 99.00
2006 01 08 11 00 230  4.6  6.2  0.40  3.00 99.00 999 1015.3   3.9   5.1  -0.4 99.0 99.00
2006 01 08 18 00 300  4.1  5.1  0.40  3.00 99.00 999 1018.3   4.2   5.2  -0.6 99.0 99.00
2006 01 08 19 00 290  4.1  5.1  0.30  3.00 99.00 999 1018.8   4.4   5.2  -0.6 99.0 99.00
2006 01 08 20 00 270  3.1  4.1  0.30  3.00 99.00 999 1019.5   4.4   5.2  -0.4 99.0 99.00
2006 01 08 21 00 280  3.6  4.6  0.20  3.00 99.00 999 1020.1   4.9   5.1  -0.4 99.0 99.00
2006 01 08 22 00 240  1.5  2.1  0.20 99.00 99.00 999 1020.1   5.0   5.1   0.1 99.0 99.00
2006 01 08 23 00 200  1.0  2.1  0.20 99.00 99.00 999 1020.5   4.9   5.1   0.9 99.0 99.00
2006 01 09 00 00 170  4.6  5.7  0.20 99.00 99.00 999 1020.2   4.4   5.1   0.9 99.0 99.00
2006 01 09 01 00 170  5.7  7.2  0.10 99.00 99.00 999 1020.5   4.1   5.1   0.1 99.0 99.00
2006 01 09 02 00 150  6.2  7.7  0.20 99.00 99.00 999 1020.5   4.3   5.1   0.5 99.0 99.00
2006 01 09 03 00 150  5.1  6.2  0.30  3.00 99.00 999 1020.5   4.5   5.1   1.2 99.0 99.00
2006 01 09 04 00 160  4.6  6.2  0.30  3.00 99.00 999 1020.1   4.4   5.1   1.6 99.0 99.00
2006 01 09 05 00 160  6.7  8.8  0.30  2.00 99.00 999 1018.8   4.6   5.1   2.0 99.0 99.00
2006 01 09 06 00 150  6.7  8.2  0.30  3.00 99.00 999 1018.1   4.7   5.1   2.2 99.0 99.00
2006 01 09 07 00 160  7.2  8.8  0.50  3.00 99.00 999 1016.6   5.2   5.1   2.9 99.0 99.00
2006 01 09 08 00 160  6.2  9.3  0.50  3.00 99.00 999 1015.2   5.5   5.1   3.5 99.0 99.00
2006 01 09 09 00 180  6.2  7.7  0.40  3.00 99.00 999 1014.2   6.2   5.1   4.4 99.0 99.00
2006 01 09 10 00 200  4.1  5.7  0.50  2.00 99.00 999 1014.0   6.7   5.1   5.4 99.0 99.00
2006 01 09 11 00 250  3.1  4.6  0.40  3.00 99.00 999 1014.0   6.8   5.1   5.0 99.0 99.00
2006 01 09 12 00 240  2.6  3.1  0.30  3.00 99.00 999 1014.1   6.2   5.1   4.4 99.0 99.00
2006 01 09 13 00 240  2.1  3.1  0.20 99.00 99.00 999 1014.5   6.2   5.1   4.1 99.0 99.00
2006 01 09 14 00 250  4.6  5.7  0.10 99.00 99.00 999 1014.7   7.1   5.2   4.1 99.0 99.00
2006 01 09 15 00 240  3.1  4.1  0.20 99.00 99.00 999 1014.3   7.1   5.2   4.1 99.0 99.00
2006 01 09 16 00 280  2.1  2.6  0.20 99.00 99.00 999 1013.3   7.3   5.2   3.9 99.0 99.00
2006 01 09 17 00 280  2.1  2.6  0.20 99.00 99.00 999 1012.9   7.3   5.3   3.9 99.0 99.00
2006 01 09 18 00 270  2.6  3.1  0.10 99.00 99.00 999 1013.0   6.9   5.3   4.1 99.0 99.00
2006 01 09 19 00 320  2.6  3.1  0.10 99.00 99.00 999 1013.8   7.1   5.2   4.5 99.0 99.00
2006 01 09 20 00 320  4.1  5.1  0.10 99.00 99.00 999 1015.0   7.9   5.2   4.6 99.0 99.00
2006 01 09 21 00 300  4.1  5.1  0.10 99.00 99.00 999 1015.9   7.9   5.2   4.7 99.0 99.00
2006 01 09 22 00 320  3.6  5.1  0.20 99.00 99.00 999 1017.2   8.2   5.1   4.7 99.0 99.00
2006 01 09 23 00 310  4.6  6.2  0.30  3.00 99.00 999 1018.7   8.5   5.1   4.2 99.0 99.00
2006 01 10 00 00 310  6.7  8.8  0.30  3.00 99.00 999 1019.7   8.6   5.1   3.5 99.0 99.00
2006 01 10 01 00 300  6.7  8.2  0.40  3.00 99.00 999 1020.5   7.8   5.1   3.4 99.0 99.00
2006 01 10 02 00 310  6.2  7.7  0.40  3.00 99.00 999 1021.5   7.4   5.1   3.2 99.0 99.00
2006 01 10 03 00 350  5.1  6.2  0.40  3.00 99.00 999 1022.6   6.6   5.1   2.3 99.0 99.00
2006 01 10 04 00 340  4.1  5.7  0.40  2.00 99.00 999 1023.4   5.9   5.1   2.6 99.0 99.00
2006 01 10 05 00 330  5.7  8.8  0.30  2.00 99.00 999 1024.4   6.0   5.1   1.6 99.0 99.00
2006 01 10 06 00 330  4.1  5.7  0.30  2.00 99.00 999 1025.6   5.7   5.1   1.6 99.0 99.00
2006 01 10 07 00 300  3.6  5.1  0.30  3.00 99.00 999 1026.6   5.5   5.1   1.3 99.0 99.00
2006 01 10 08 00 320  4.6  6.2  0.20  3.00 99.00 999 1026.9   5.4   5.1   1.4 99.0 99.00
2006 01 19 05 00 290 11.3 15.4  1.90  6.00 99.00 999 1015.8   3.7   4.6  -3.0 99.0 99.00
2006 01 19 06 00 290 11.3 16.0  1.70  6.00 99.00 999 1016.4   3.5   4.6  -3.6 99.0 99.00
2006 01 19 07 00 290 12.9 18.0  1.80  6.00 99.00 999 1018.0   3.1   4.6  -4.5 99.0 99.00
2006 01 19 08 00 290 12.4 17.0  1.50  6.00 99.00 999 1018.6   2.8   4.5  -4.7 99.0 99.00
2006 01 19 09 00 290 12.9 16.5  1.50  6.00 99.00 999 1020.0   2.8   4.5  -4.5 99.0 99.00
2006 01 19 10 00 280 11.8 16.0  1.50  5.00 99.00 999 1021.1   2.8   4.5  -3.8 99.0 99.00
2006 01 19 11 00 290 11.8 16.0  1.60  5.00 99.00 999 1022.1   2.6   4.5  -4.0 99.0 99.00
2006 01 19 12 00 290 12.4 16.5  1.50  5.00 99.00 999 1023.7   2.5   4.5  -4.3 99.0 99.00
2006 01 19 13 00 290 11.3 15.4  1.50  5.00 99.00 999 1025.4   2.5   4.5  -4.2 99.0 99.00
2006 01 19 14 00 300 10.8 14.9  1.50  6.00 99.00 999 1026.0   2.6   4.5  -3.7 99.0 99.00
2006 01 19 15 00 290 10.8 13.9  1.40  6.00 99.00 999 1026.3   2.8   4.5  -3.3 99.0 99.00
2006 01 19 16 00 300  9.8 12.9  1.30  5.00 99.00 999 1025.4   3.3   4.5  -2.8 99.0 99.00
2006 01 19 17 00 290  8.8 11.3  1.50  6.00 99.00 999 1024.4   3.6   4.5  -2.7 99.0 99.00
2006 01 19 18 00 290  6.7  9.3  1.20  6.00 99.00 999 1024.0   4.2   4.5  -2.1 99.0 99.00
2006 01 19 19 00 280  7.2  9.3  1.00  5.00 99.00 999 1024.1   4.4   4.5  -1.4 99.0 99.00
2006 01 19 20 00 270  6.7  8.8  0.80  5.00 99.00 999 1024.8   4.9   4.5  -0.6 99.0 99.00
2006 01 19 21 00 260  4.1  5.7  0.70  4.00 99.00 999 1025.1   5.2   4.5   0.3 99.0 99.00
2006 01 19 22 00 230  4.6  6.2  0.60  4.00 99.00 999 1025.5   5.2   4.5   1.0 99.0 99.00
2006 01 19 23 00 240  5.7  7.2  0.40  4.00 99.00 999 1025.6   5.1   4.5   0.4 99.0 99.00
2006 01 20 00 00 240  4.1  5.7  0.40  4.00 99.00 999 1025.4   4.9   4.5   1.8 99.0 99.00
2006 01 20 01 00 240  4.1  5.7  0.40  3.00 99.00 999 1025.1   5.2   4.5   2.4 99.0 99.00
2006 01 20 02 00 240  3.1  4.1  0.30  3.00 99.00 999 1024.5   5.0   4.5   2.5 99.0 99.00
2006 01 20 03 00 240  3.1  4.1  0.20 99.00 99.00 999 1023.9   5.2   4.5   2.6 99.0 99.00
2006 01 20 04 00 260  5.7  7.2  0.20 99.00 99.00 999 1023.8   6.2   4.4   3.2 99.0 99.00
2006 01 20 05 00 250  6.7  9.3  0.30  3.00 99.00 999 1023.1   6.6   4.4   3.0 99.0 99.00
2006 01 20 06 00 270  5.7  7.2  0.50  3.00 99.00 999 1023.6   6.3   4.4   3.5 99.0 99.00
2006 01 20 07 00 250  5.7  7.2  0.60  4.00 99.00 999 1023.2   5.9   4.4   3.5 99.0 99.00
2006 01 20 08 00 240  4.6  6.7  0.60  4.00 99.00 999 1022.5   5.9   4.4   3.5 99.0 99.00
2006 01 20 09 00 260  5.1  6.2  0.50  4.00 99.00 999 1022.1   6.0   4.4   3.4 99.0 99.00
2006 01 20 10 00 250  4.6  5.7  0.40  3.00 99.00 999 1021.9   5.9   4.4   3.4 99.0 99.00
2006 01 20 11 00 260  5.1  6.7  0.50  3.00 99.00 999 1022.0   5.9   4.4   3.3 99.0 99.00
