YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 05 04  41  7.8  9.3  0.97  7.14  4.10 999 1013.6   5.8   8.2   4.3 99.0 99.00
2004 01 05 05  55  8.4  9.9  1.01  7.69  4.03 999 1012.7   5.9   8.2   4.5 99.0 99.00
2004 01 05 06  60  8.4  9.7  1.09  6.67  4.02 999 1013.5   5.4   8.2   4.0 99.0 99.00
2004 01 05 07  57  9.1 10.7  1.16  7.14  4.06 999 1012.9   5.3   8.2   4.3 99.0 99.00
2004 01 05 08  58  9.3 11.0  1.26  4.35  4.11 999 1013.1   5.1   8.1   4.0 99.0 99.00
2004 01 05 09  51  9.3 11.0  1.38  4.55  4.20 999 1012.5   4.3   8.1   2.9 99.0 99.00
2004 01 05 10  49  8.9 10.4  1.39  5.00  4.36 999 1012.1   4.5   8.1   3.2 99.0 99.00
2004 01 05 11  55  8.9 10.8  1.43  5.26  4.42 999 1012.3   4.8   8.2   3.3 99.0 99.00
2004 01 05 12  72  9.3 10.9  1.48  4.76  4.49 999 1011.3   5.5   8.2   3.9 99.0 99.00
2004 01 05 13  67  8.7 10.2  1.43  5.26  4.49 999 1011.9   5.9   8.3   4.4 99.0 99.00
2004 01 05 14  82  9.0 11.0  1.42  5.26  4.49 999 1011.2   6.3   8.3   4.9 99.0 99.00
2004 01 05 15  83  9.1 10.8  1.57  5.88  4.62 999 1010.9   6.8   8.3   5.1 99.0 99.00
2004 01 05 16  84  8.4  9.7  1.56  5.26  4.57 999 1010.4   6.9   8.3   5.4 99.0 99.00
2004 01 05 17  70  8.0  9.5  1.59  5.26  4.60 999 1009.9   6.8   8.3   5.6 99.0 99.00
2004 01 05 18  71  8.4 10.1  1.60  5.88  4.64 999 1008.2   6.9   8.3   5.7 99.0 99.00
2004 01 05 19  75  9.6 11.0  1.66  5.26  4.53 999 1007.2   6.5   8.2   5.4 99.0 99.00
2004 01 05 20  75  9.7 11.8  1.66  5.56  4.53 999 1006.4   6.7   8.3   5.6 99.0 99.00
2004 01 05 21  45  7.9  9.8  1.77  6.25  4.95 999 1008.1   6.7   8.3   5.1 99.0 99.00
2004 01 05 22  56  8.8 10.4  1.69  5.56  4.76 999 1008.1   6.2   8.3   4.8 99.0 99.00
2004 01 05 23  52  8.5 10.1  1.70  7.14  4.83 999 1007.8   6.2   8.3   4.9 99.0 99.00
2004 01 06 00  52  8.3  9.8  1.76  6.25  5.04 999 1007.4   6.0   8.3   4.6 99.0 99.00
2004 01 06 01  56  6.2  7.4  1.83  7.69  5.27 999 1008.0   6.0   8.4   4.6 99.0 99.00
2004 01 06 02  15  5.1  6.0  1.68  7.69  5.28 999 1009.2   5.9   8.4   4.5 99.0 99.00
2004 01 06 03   6  4.8  5.8  1.60  5.88  5.13 999 1009.1   5.7   8.4   4.4 99.0 99.00
2004 01 06 04 327  4.4  5.7  1.64  8.33  5.57 999 1009.7   5.4   8.4   4.0 99.0 99.00
2004 01 06 05 299  6.4  7.9  1.58  7.69  5.57 999 1009.6   4.8   8.4   3.6 99.0 99.00
2004 01 06 06 291  8.6 10.4  1.49  8.33  5.19 999 1009.6   4.6   8.4   2.4 99.0 99.00
2004 01 06 07 289 10.8 13.0  1.62  8.33  4.92 999 1010.4   4.5   8.4   1.4 99.0 99.00
2004 01 06 08 290 11.9 14.2  1.74  7.69  4.89 999 1010.9   4.4   8.4  -0.3 99.0 99.00
2004 01 06 09 290 12.1 14.2  1.88  8.33  5.01 999 1011.4   3.7   8.5  -0.8 99.0 99.00
2004 01 06 10 301 12.8 15.5  1.75  5.56  4.72 999 1012.0   3.4   8.5  -1.7 99.0 99.00
2004 01 06 11 307 11.4 14.1  1.79  5.26  4.72 999 1013.1   2.9   8.5  -2.6 99.0 99.00
2004 01 06 12 297 11.5 13.7  1.69  8.33  4.62 999 1013.8   2.6   8.5  -3.3 99.0 99.00
2004 01 06 13 309 10.6 12.9  1.67  8.33  4.87 999 1014.8   2.5   8.4  -3.7 99.0 99.00
2004 01 06 14 297  9.7 11.9  1.64  8.33  4.69 999 1015.6   2.5   8.4  -3.7 99.0 99.00
2004 01 06 15 293  9.2 11.3  1.47  8.33  4.44 999 1016.1   2.3   8.4  -4.3 99.0 99.00
