#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 04 14 00 231  9.8 10.9 99.00 99.00 99.00 999 1022.2  10.0   7.4 999.0 99.0 99.00
2007 01 04 15 00 237  9.3 10.7 99.00 99.00 99.00 999 1022.3  10.8   7.9 999.0 99.0 99.00
2007 01 04 16 00 231  8.3  8.8 99.00 99.00 99.00 999 1021.4  10.7   7.3 999.0 99.0 99.00
2007 01 04 17 00 227  8.9  9.5 99.00 99.00 99.00 999 1020.5  10.2   7.2 999.0 99.0 99.00
2007 01 04 18 00 210 10.3 11.5 99.00 99.00 99.00 999 1019.3  10.4   7.0 999.0 99.0 99.00
2007 01 04 19 00 212 10.6 11.4 99.00 99.00 99.00 999 1018.6  12.3   7.1 999.0 99.0 99.00
2007 01 04 20 00 212 10.3 11.4 99.00 99.00 99.00 999 1018.5  10.5   7.2 999.0 99.0 99.00
2007 01 04 21 00 218 10.8 12.1 99.00 99.00 99.00 999 1018.4  10.9   7.3 999.0 99.0 99.00
2007 01 04 22 00 219 11.6 12.5 99.00 99.00 99.00 999 1018.2   9.9   7.6 999.0 99.0 99.00
2007 01 04 23 00 221 11.2 11.9 99.00 99.00 99.00 999 1018.6   9.7   7.6 999.0 99.0 99.00
2007 01 05 00 00 228 11.2 11.8 99.00 99.00 99.00 999 1018.9   9.5   7.6 999.0 99.0 99.00
2007 01 05 01 00 231  9.2  9.7 99.00 99.00 99.00 999 1018.8   9.5   7.5 999.0 99.0 99.00
2007 01 05 02 00 234  8.1  8.5 99.00 99.00 99.00 999 1018.9   9.5   7.5 999.0 99.0 99.00
2007 01 05 03 00 228  8.8  9.8 99.00 99.00 99.00 999 1018.8   9.7   7.4 999.0 99.0 99.00
2007 01 05 04 00 234  7.4  8.0 99.00 99.00 99.00 999 1018.6   9.6   7.4 999.0 99.0 99.00
2007 01 05 06 00 225  8.4  8.6 99.00 99.00 99.00 999 1017.2  10.0   7.3 999.0 99.0 99.00
2007 01 05 07 00 209  8.1  8.3 99.00 99.00 99.00 999 1017.2  10.2   7.3 999.0 99.0 99.00
2007 01 05 08 00 210  7.2  7.6 99.00 99.00 99.00 999 1017.0  10.1   7.4 999.0 99.0 99.00
2007 01 05 09 00 198  9.6  9.8 99.00 99.00 99.00 999 1016.7  10.6   7.6 999.0 99.0 99.00
2007 01 05 10 00 204  7.2  7.6 99.00 99.00 99.00 999 1016.5  10.6   7.6 999.0 99.0 99.00
2007 01 05 11 00 200  8.8  9.3 99.00 99.00 99.00 999 1016.7  11.1   7.5 999.0 99.0 99.00
2007 01 05 12 00 196 10.3 10.8 99.00 99.00 99.00 999 1016.2  11.2   7.5 999.0 99.0 99.00
2007 01 05 13 00 192 11.4 12.0 99.00 99.00 99.00 999 1016.2  11.4   7.5 999.0 99.0 99.00
2007 01 05 14 00 196 11.7 12.4 99.00 99.00 99.00 999 1016.0  11.8   7.5 999.0 99.0 99.00
2007 01 05 15 00 192 13.1 13.6 99.00 99.00 99.00 999 1015.0  13.0   7.5 999.0 99.0 99.00
2007 01 05 16 00 199 12.7 13.4 99.00 99.00 99.00 999 1014.6  12.9   7.4 999.0 99.0 99.00
2007 01 05 17 00 206 11.8 12.6 99.00 99.00 99.00 999 1013.8  12.7   7.4 999.0 99.0 99.00
2007 01 05 18 00 213 10.5 11.0 99.00 99.00 99.00 999 1013.5  12.8   7.4 999.0 99.0 99.00
2007 01 05 19 00 209  9.5 10.0 99.00 99.00 99.00 999 1013.4  11.4   7.5 999.0 99.0 99.00
2007 01 05 20 00 210  8.4  8.9 99.00 99.00 99.00 999 1013.6  11.3   7.5 999.0 99.0 99.00
2007 01 05 21 00 212  6.9  7.2 99.00 99.00 99.00 999 1013.9  11.1   7.7 999.0 99.0 99.00
2007 01 05 22 00 211  5.7  6.0 99.00 99.00 99.00 999 1013.6  11.2   7.8 999.0 99.0 99.00
2007 01 05 23 00 204  6.8  7.2 99.00 99.00 99.00 999 1013.3  10.8   7.7 999.0 99.0 99.00
2007 01 06 00 00 197 10.9 11.5 99.00 99.00 99.00 999 1012.4  11.3   7.6 999.0 99.0 99.00
2007 01 06 01 00 213  8.3  8.9 99.00 99.00 99.00 999 1013.1  11.2   7.7 999.0 99.0 99.00
2007 01 06 02 00 222  6.8  7.5 99.00 99.00 99.00 999 1013.2  11.0   7.8 999.0 99.0 99.00
2007 01 06 03 00 217  8.3 99.0 99.00 99.00 99.00 999 1012.6  11.8 999.0 999.0 99.0 99.00
2007 01 06 04 00 200  6.2  6.6 99.00 99.00 99.00 999 1012.0  11.3   7.7 999.0 99.0 99.00
2007 01 06 05 00 200  7.5  7.7 99.00 99.00 99.00 999 1011.2  11.3   7.6 999.0 99.0 99.00
2007 01 06 06 00 216  7.3  7.6 99.00 99.00 99.00 999 1010.4  11.4   7.6 999.0 99.0 99.00
2007 01 06 07 00 218  7.6  7.9 99.00 99.00 99.00 999 1010.0  11.4   7.6 999.0 99.0 99.00
2007 01 06 08 00 212  7.4  7.7 99.00 99.00 99.00 999 1009.5  11.5   7.7 999.0 99.0 99.00
2007 01 06 09 00 217  9.5 10.1 99.00 99.00 99.00 999 1008.1  12.4   7.7 999.0 99.0 99.00
2007 01 06 10 00 219  8.7  9.3 99.00 99.00 99.00 999 1007.7  12.5   7.7 999.0 99.0 99.00
2007 01 06 11 00 208 12.4 13.3 99.00 99.00 99.00 999 1006.7  12.7   7.7 999.0 99.0 99.00
2007 01 06 12 00 209 12.6 13.2 99.00 99.00 99.00 999 1006.0  12.6   7.7 999.0 99.0 99.00
2007 01 06 13 00 204 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2007 01 06 14 00 198  9.9 10.5 99.00 99.00 99.00 999 1006.2  12.3   7.8 999.0 99.0 99.00
2007 01 06 15 00 208 13.7 15.0 99.00 99.00 99.00 999 1005.1  13.3   7.8 999.0 99.0 99.00
2007 01 06 16 00 207 13.5 14.4 99.00 99.00 99.00 999 1003.5  13.8   7.7 999.0 99.0 99.00
2007 01 06 17 00 221 12.0 13.0 99.00 99.00 99.00 999 1002.6  13.0   7.7 999.0 99.0 99.00
2007 01 06 18 00 208 13.2 13.7 99.00 99.00 99.00 999 1001.6  13.1   7.7 999.0 99.0 99.00
2007 01 06 19 00 220 12.7 13.3 99.00 99.00 99.00 999 1001.3  12.7   7.8 999.0 99.0 99.00
2007 01 06 21 00 220 11.1 11.8 99.00 99.00 99.00 999 1002.7  10.8   7.8 999.0 99.0 99.00
2007 01 06 22 00 224 10.4 99.0 99.00 99.00 99.00 999 9999.0  10.4 999.0 999.0 99.0 99.00
2007 01 06 23 00 227 11.6 12.6 99.00 99.00 99.00 999 1004.4  10.9   8.0 999.0 99.0 99.00
2007 01 07 00 00 231  9.5  9.9 99.00 99.00 99.00 999 1005.9  10.5   8.0 999.0 99.0 99.00
2007 01 07 01 00 238 12.2 12.9 99.00 99.00 99.00 999 1006.9  12.0   8.0 999.0 99.0 99.00
2007 01 07 02 00 252 10.7 11.6 99.00 99.00 99.00 999 1008.2  12.0   8.0 999.0 99.0 99.00
2007 01 07 03 00 248 10.3 10.8 99.00 99.00 99.00 999 1009.5  11.5   7.9 999.0 99.0 99.00
2007 01 07 04 00 276  8.6  9.6 99.00 99.00 99.00 999 1011.4  10.4   7.9 999.0 99.0 99.00
2007 01 07 05 00 279  5.8  6.3 99.00 99.00 99.00 999 1012.7  11.5   7.8 999.0 99.0 99.00
2007 01 07 06 00 319 11.6 12.6 99.00 99.00 99.00 999 1014.2  10.5   7.8 999.0 99.0 99.00
2007 01 07 07 00 305 10.1 10.7 99.00 99.00 99.00 999 1016.2   9.9   7.8 999.0 99.0 99.00
2007 01 07 08 00 314  8.5  9.2 99.00 99.00 99.00 999 1017.8   8.9   7.9 999.0 99.0 99.00
2007 01 07 09 00 318  9.3 10.5 99.00 99.00 99.00 999 1019.2   8.4   7.9 999.0 99.0 99.00
2007 01 07 10 00 299  7.9  8.6 99.00 99.00 99.00 999 1020.4   7.9   7.9 999.0 99.0 99.00
2007 01 07 11 00 303 10.3 11.6 99.00 99.00 99.00 999 1021.9   7.4   7.9 999.0 99.0 99.00
2007 01 07 12 00 317  9.2 10.6 99.00 99.00 99.00 999 1023.4   6.9   8.0 999.0 99.0 99.00
2007 01 07 13 00 297  8.6  9.1 99.00 99.00 99.00 999 1024.6   8.0   8.0 999.0 99.0 99.00
2007 01 07 14 00 299  8.5  9.4 99.00 99.00 99.00 999 1025.7   8.6   8.0 999.0 99.0 99.00
2007 01 07 15 00 309  6.1  6.9 99.00 99.00 99.00 999 1026.2   8.7   7.9 999.0 99.0 99.00
2007 01 07 16 00 314  5.0  5.3 99.00 99.00 99.00 999 1026.0   8.9   7.9 999.0 99.0 99.00
2007 01 07 17 00 282  3.0  3.3 99.00 99.00 99.00 999 1025.3   8.7   7.9 999.0 99.0 99.00
2007 01 07 18 00 290  2.4  2.7 99.00 99.00 99.00 999 1024.4   9.3   7.8 999.0 99.0 99.00
2007 01 07 19 00 220  3.3  3.6 99.00 99.00 99.00 999 1024.3   9.5   7.9 999.0 99.0 99.00
2007 01 07 20 00 215  4.8  5.0 99.00 99.00 99.00 999 1025.3   9.3   7.8 999.0 99.0 99.00
2007 01 07 21 00 199  3.9  4.3 99.00 99.00 99.00 999 1025.2   8.3   7.6 999.0 99.0 99.00
2007 01 07 22 00 191  4.5  4.8 99.00 99.00 99.00 999 1025.2   6.9   7.6 999.0 99.0 99.00
2007 01 07 23 00 167  4.5  4.7 99.00 99.00 99.00 999 1025.0   6.8   7.7 999.0 99.0 99.00
2007 01 08 00 00 175  4.7  5.1 99.00 99.00 99.00 999 1025.3   7.2   8.0 999.0 99.0 99.00
2007 01 08 01 00 174  4.4  4.8 99.00 99.00 99.00 999 1025.3   7.2   8.1 999.0 99.0 99.00
2007 01 08 02 00 175  5.8  6.6 99.00 99.00 99.00 999 1024.7   7.3   8.1 999.0 99.0 99.00
2007 01 08 03 00 154  6.9  7.4 99.00 99.00 99.00 999 1023.3   7.5   8.1 999.0 99.0 99.00
2007 01 08 04 00 126  7.6  8.0 99.00 99.00 99.00 999 1020.8   7.6   8.1 999.0 99.0 99.00
2007 01 08 05 00 158  9.6 10.6 99.00 99.00 99.00 999 1020.7   7.6   8.1 999.0 99.0 99.00
2007 01 08 06 00 134 10.0 11.1 99.00 99.00 99.00 999 1019.2   7.4   8.1 999.0 99.0 99.00
2007 01 08 07 00 124 11.5 12.3 99.00 99.00 99.00 999 1017.4   6.6   8.1 999.0 99.0 99.00
2007 01 08 08 00 116 11.1 12.2 99.00 99.00 99.00 999 1015.6   6.9   8.1 999.0 99.0 99.00
2007 01 08 09 00 111 12.1 13.5 99.00 99.00 99.00 999 1012.2   6.7   8.1 999.0 99.0 99.00
2007 01 08 10 00 115 15.1 16.5 99.00 99.00 99.00 999 1008.2   7.3   8.1 999.0 99.0 99.00
2007 01 08 11 00 999 99.0 99.0 99.00 99.00 99.00 999 1004.6   9.1   8.1 999.0 99.0 99.00
2007 01 08 12 00 999 99.0 99.0 99.00 99.00 99.00 999 1004.2  11.0   8.2 999.0 99.0 99.00
