#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 03 23 00 230  5.1  6.7  0.30  2.00 99.00 999 1024.4   9.2 999.0   3.2 99.0 99.00
2007 01 03 23 30 240  6.7  8.2 99.00 99.00 99.00 999 1024.4   9.4 999.0   3.0 99.0 99.00
2007 01 04 00 00 240  6.2  7.7 99.00 99.00 99.00 999 1024.5   9.2 999.0   3.2 99.0 99.00
2007 01 04 00 30 240  6.2  7.2 99.00 99.00 99.00 999 1024.6   9.2 999.0   3.1 99.0 99.00
2007 01 04 01 00 240  6.2  7.2 99.00 99.00 99.00 999 1024.8   9.1 999.0   3.2 99.0 99.00
2007 01 04 01 30 240  5.7  7.2 99.00 99.00 99.00 999 1024.8   9.0 999.0   3.3 99.0 99.00
2007 01 04 02 00 250  4.6  6.2 99.00 99.00 99.00 999 1024.7   8.6 999.0   3.8 99.0 99.00
2007 01 04 02 30 250  6.2  8.2 99.00 99.00 99.00 999 1024.5   8.8 999.0   3.5 99.0 99.00
2007 01 04 03 00 250  6.2  7.2 99.00 99.00 99.00 999 1024.3   8.7 999.0   3.5 99.0 99.00
2007 01 04 03 30 250  6.7  7.7 99.00 99.00 99.00 999 1024.0   8.4 999.0   3.9 99.0 99.00
2007 01 04 04 00 250  5.7  7.2 99.00 99.00 99.00 999 1023.8   8.3 999.0   3.7 99.0 99.00
2007 01 04 04 30 240  5.1  6.7 99.00 99.00 99.00 999 1023.6   8.2 999.0   3.8 99.0 99.00
2007 01 04 05 00 240  4.6  5.7 99.00 99.00 99.00 999 1023.5   7.9 999.0   3.5 99.0 99.00
2007 01 04 05 30 250  4.6  5.7 99.00 99.00 99.00 999 1023.3   7.8 999.0   3.5 99.0 99.00
2007 01 04 06 00 250  5.1  6.2 99.00 99.00 99.00 999 1023.1   7.7 999.0   3.9 99.0 99.00
2007 01 04 06 30 250  3.6  4.6 99.00 99.00 99.00 999 1023.3   7.7 999.0   3.6 99.0 99.00
2007 01 04 07 00 240  3.1  3.6 99.00 99.00 99.00 999 1023.3   7.6 999.0   3.6 99.0 99.00
2007 01 04 08 00 220  4.1  5.1 99.00 99.00 99.00 999 1023.5   7.3 999.0   2.2 99.0 99.00
2007 01 04 08 30 220  4.6  6.2 99.00 99.00 99.00 999 1023.5   7.2 999.0   2.5 99.0 99.00
2007 01 04 09 00 230  5.1  6.2 99.00 99.00 99.00 999 1023.5   7.1 999.0   2.5 99.0 99.00
2007 01 04 09 30 220  4.6  5.7 99.00 99.00 99.00 999 1023.7   6.8 999.0   2.4 99.0 99.00
2007 01 04 10 00 220  3.6  5.1 99.00 99.00 99.00 999 1023.6   6.4 999.0   2.4 99.0 99.00
2007 01 04 21 00 240  3.6  4.6 99.00 99.00 99.00 999 1020.2   9.7 999.0   5.1 99.0 99.00
2007 01 04 21 30 240  4.1  4.6 99.00 99.00 99.00 999 1020.6   9.7 999.0   5.0 99.0 99.00
2007 01 04 22 00 240  4.1  4.6 99.00 99.00 99.00 999 1020.7   9.6 999.0   4.9 99.0 99.00
2007 01 04 22 30 220  2.1  3.1 99.00 99.00 99.00 999 1021.0   9.9 999.0   4.7 99.0 99.00
2007 01 04 23 00 200  2.1  3.1 99.00 99.00 99.00 999 1021.0   9.3 999.0   4.8 99.0 99.00
2007 01 04 23 30 180  1.5  2.6 99.00 99.00 99.00 999 1021.1   9.0 999.0   5.2 99.0 99.00
