YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 05 03 22 30  40  5.1  7.2 99.00 99.00 99.00 999 1010.9  13.0 999.0  11.2 99.0 99.00
2006 05 03 23 00  30  4.6  7.2 99.00 99.00 99.00 999 1011.0  12.8 999.0  11.4 99.0 99.00
2006 05 03 23 30  10  3.6  5.1 99.00 99.00 99.00 999 1011.4  12.5 999.0  11.5 99.0 99.00
2006 05 04 00 00 360  4.6  5.7 99.00 99.00 99.00 999 1011.5  12.8 999.0  11.5 99.0 99.00
2006 05 04 01 00  10  4.6  6.7 99.00 99.00 99.00 999 1011.9  13.1 999.0  11.0 99.0 99.00
2006 05 04 01 30  30  4.1  5.1  0.20 99.00 99.00 999 1012.2  13.2 999.0  10.9 99.0 99.00
2006 05 04 02 00  30  4.1  5.7 99.00 99.00 99.00 999 1012.7  13.3 999.0  10.9 99.0 99.00
2006 05 04 02 30  30  4.6  5.7  0.20 99.00 99.00 999 1012.8  13.4 999.0  10.8 99.0 99.00
2006 05 04 03 00  30  4.6  5.7 99.00 99.00 99.00 999 1012.7  13.3 999.0  10.9 99.0 99.00
2006 05 04 03 30  40  4.1  5.7  0.20 99.00 99.00 999 1012.5  13.5 999.0  10.9 99.0 99.00
2006 05 04 04 00  60  5.1  7.7 99.00 99.00 99.00 999 1012.4  13.6 999.0  10.9 99.0 99.00
2006 05 04 04 30  80  4.6  5.1  0.30  2.00 99.00 999 1012.4  13.1 999.0  10.8 99.0 99.00
2006 05 04 05 00  80  2.6  3.6 99.00 99.00 99.00 999 1012.3  12.4 999.0  10.6 99.0 99.00
2006 05 04 05 30  70  2.1  2.6  0.20 99.00 99.00 999 1012.4  12.2 999.0  10.6 99.0 99.00
2006 05 04 06 00  40  2.6  3.1 99.00 99.00 99.00 999 1012.2  12.6 999.0  10.9 99.0 99.00
2006 05 04 06 30  60  2.1  2.6  0.10 99.00 99.00 999 1011.7  12.2 999.0  10.6 99.0 99.00
2006 05 04 07 00  70  2.1  2.1 99.00 99.00 99.00 999 1011.6  12.0 999.0  10.6 99.0 99.00
2006 05 04 07 30  60  1.0  2.1  0.20 99.00 99.00 999 1011.8  11.7 999.0  10.4 99.0 99.00
2006 05 04 08 00 340  1.5  3.6 99.00 99.00 99.00 999 1012.2  11.7 999.0  10.6 99.0 99.00
2006 05 04 08 30 360  1.5  2.1  0.10 99.00 99.00 999 1012.4  11.6 999.0  10.6 99.0 99.00
2006 05 04 09 00 360  1.5  2.1 99.00 99.00 99.00 999 1012.3  11.8 999.0  10.6 99.0 99.00
2006 05 04 09 30 330  3.1  3.6  0.10 99.00 99.00 999 1012.6  11.6 999.0  10.5 99.0 99.00
2006 05 04 10 00 330  2.1  3.1 99.00 99.00 99.00 999 1012.7  11.6 999.0  10.5 99.0 99.00
