Buoy 44017 Time	Buoy 44017 Wave Height	Buoy 44017 U10	SARAL-AltiKa Time	SARAL-AltiKa Wave Height	SARAL-AltiKa Wind Speed	Buoy-Sat. Distance (km)	Time Difference (min.)
2016-09-09 10:50:00.000000000	1.09	7.390410781300256	2016-09-09 10:21:02.207092032	1.1680001020431519	5.769999980926514	10.330464469979391	-28.9632151328
2016-10-16 22:50:00.000000000	1.45	9.265589636257038	2016-10-16 23:19:57.886492032	1.2880001068115234	7.849999904632568	9.534798712584928	29.9647748672
2016-10-16 22:50:00.000000000	1.45	9.265589636257038	2016-10-16 23:19:58.925065984	1.434000015258789	7.919999599456787	7.263571479257505	29.982084433066667
2016-10-16 22:50:00.000000000	1.45	9.265589636257038	2016-10-16 23:19:59.963643072	1.2690000534057617	7.899999618530273	10.588644807540188	29.9993940512
2016-11-09 10:50:00.000000000	1.34	5.7358412033972135	2016-11-09 10:20:06.472152000	1.6110000610351562	5.009999752044678	12.927213302400487	-29.8921308
2016-11-09 10:50:00.000000000	1.34	5.7358412033972135	2016-11-09 10:20:07.511257856	1.3640000820159912	5.130000114440918	8.170959497647306	-29.874812369066667
2016-11-09 10:50:00.000000000	1.34	5.7358412033972135	2016-11-09 10:20:08.550362112	1.4490001201629639	5.239999771118164	8.000665023316746	-29.857493964800003
2016-11-09 10:50:00.000000000	1.34	5.7358412033972135	2016-11-09 10:20:09.589467072	1.662000060081482	5.190000057220459	12.603533536225433	-29.8401755488
2016-12-16 22:50:00.000000000	0.81	6.838887588665909	2016-12-16 23:18:49.231260032	0.8370000123977661	6.069999694824219	14.25498173781087	28.820521000533333
2016-12-16 22:50:00.000000000	0.81	6.838887588665909	2016-12-16 23:18:50.269310976	0.8670000433921814	6.029999732971191	10.146466597006256	28.8378218496
2016-12-16 22:50:00.000000000	0.81	6.838887588665909	2016-12-16 23:18:51.307357056	0.8360000252723694	5.949999809265137	10.00544029853272	28.8551226176
2016-12-16 22:50:00.000000000	0.81	6.838887588665909	2016-12-16 23:18:52.345405120	0.9170000553131104	5.920000076293945	13.952903285090077	28.872423418666664
2017-01-25 10:50:00.000000000	2.26	15.442649393761728	2017-01-25 10:20:04.077766912	2.5970001220703125	14.380000114440918	12.404361269613984	-29.932037218133335
