YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 04 22 261 11.0 12.9 99.00 99.00 99.00 999 1016.1   -.8 999.0 999.0 99.0
1999 01 04 23 272 10.0 11.8 99.00 99.00 99.00 999 1017.1  -1.2 999.0 999.0 99.0
1999 01 05 00 269 10.7 13.1 99.00 99.00 99.00 999 1017.8  -1.4 999.0 999.0 99.0
1999 01 05 01 278 11.2 12.9 99.00 99.00 99.00 999 1018.2  -1.7 999.0 999.0 99.0
1999 01 05 02 285  9.8 11.2 99.00 99.00 99.00 999 1018.4  -2.1 999.0 999.0 99.0
1999 01 05 03 280 11.1 12.6 99.00 99.00 99.00 999 1019.2  -2.9 999.0 999.0 99.0
1999 01 05 04 285 11.6 13.3 99.00 99.00 99.00 999 1019.4  -3.5 999.0 999.0 99.0
1999 01 05 05 283 10.0 11.9 99.00 99.00 99.00 999 1019.5  -3.8 999.0 999.0 99.0
1999 01 05 06 283  9.5 12.6 99.00 99.00 99.00 999 1020.0  -3.8 999.0 999.0 99.0
1999 01 05 07 280  9.7 10.8 99.00 99.00 99.00 999 1020.6  -4.0 999.0 999.0 99.0
1999 01 05 08 292 10.1 11.9 99.00 99.00 99.00 999 1021.2  -4.4 999.0 999.0 99.0
1999 01 05 09 283 10.6 11.7 99.00 99.00 99.00 999 1021.3  -4.5 999.0 999.0 99.0
1999 01 05 10 287 11.2 12.2 99.00 99.00 99.00 999 1021.6  -4.9 999.0 999.0 99.0
1999 01 05 11 286 11.7 14.2 99.00 99.00 99.00 999 1023.0  -5.3 999.0 999.0 99.0
1999 01 05 12 291  9.8 11.2 99.00 99.00 99.00 999 1023.4  -5.6 999.0 999.0 99.0
1999 01 05 13 286 10.9 12.9 99.00 99.00 99.00 999 1023.5  -5.9 999.0 999.0 99.0
1999 01 05 14 295  9.4 11.4 99.00 99.00 99.00 999 1024.2  -6.0 999.0 999.0 99.0
1999 01 05 15 295  9.8 11.5 99.00 99.00 99.00 999 1025.3  -5.9 999.0 999.0 99.0
1999 01 05 16 300  9.5 10.9 99.00 99.00 99.00 999 1024.7  -5.1 999.0 999.0 99.0
1999 01 05 17 303 10.1 11.4 99.00 99.00 99.00 999 1023.9  -4.2 999.0 999.0 99.0
1999 01 05 18 311  8.7 10.0 99.00 99.00 99.00 999 1023.7  -3.5 999.0 999.0 99.0
1999 01 05 19 307  6.3  6.9 99.00 99.00 99.00 999 1023.6  -3.1 999.0 999.0 99.0
1999 01 05 20 313  9.0 10.3 99.00 99.00 99.00 999 1024.4  -2.8 999.0 999.0 99.0
1999 01 05 21 307  5.1  7.0 99.00 99.00 99.00 999 1025.2  -2.7 999.0 999.0 99.0
1999 01 05 22 326  4.8  5.4 99.00 99.00 99.00 999 1025.7  -2.7 999.0 999.0 99.0
1999 01 05 23 290  6.5  8.1 99.00 99.00 99.00 999 1026.5  -2.7 999.0 999.0 99.0
1999 01 06 00 300  7.3  8.8 99.00 99.00 99.00 999 1027.3  -2.9 999.0 999.0 99.0
1999 01 06 01 313  8.0  9.2 99.00 99.00 99.00 999 1027.4  -3.2 999.0 999.0 99.0
1999 01 06 02 323  5.8  7.3 99.00 99.00 99.00 999 1027.7  -3.4 999.0 999.0 99.0
1999 01 06 03 319  5.7  6.8 99.00 99.00 99.00 999 1027.9  -3.6 999.0 999.0 99.0
1999 01 06 04 330  5.5  6.4 99.00 99.00 99.00 999 1028.0  -3.9 999.0 999.0 99.0
1999 01 06 05 318  6.1  6.9 99.00 99.00 99.00 999 1027.7  -4.2 999.0 999.0 99.0
1999 01 06 06 325  5.2  5.9 99.00 99.00 99.00 999 1027.5  -4.4 999.0 999.0 99.0
1999 01 06 07 346  3.8  4.8 99.00 99.00 99.00 999 1027.7  -4.3 999.0 999.0 99.0
1999 01 06 08   3  3.6  4.4 99.00 99.00 99.00 999 1027.4  -4.5 999.0 999.0 99.0
1999 01 06 09 351  2.6  3.4 99.00 99.00 99.00 999 1027.5  -4.3 999.0 999.0 99.0
1999 01 06 10  29  2.6  3.1 99.00 99.00 99.00 999 1027.4  -4.1 999.0 999.0 99.0
1999 01 06 11  23  1.9  2.2 99.00 99.00 99.00 999 1027.9  -4.0 999.0 999.0 99.0
1999 01 06 12  89  1.8  2.2 99.00 99.00 99.00 999 1028.1  -3.7 999.0 999.0 99.0
1999 01 06 13 117  4.3  5.1 99.00 99.00 99.00 999 1028.3  -3.4 999.0 999.0 99.0
1999 01 06 14 140  6.1  8.2 99.00 99.00 99.00 999 1028.1  -2.7 999.0 999.0 99.0
1999 01 06 15 170  5.5  6.2 99.00 99.00 99.00 999 1027.8  -2.3 999.0 999.0 99.0
1999 01 06 16 181  6.2  6.8 99.00 99.00 99.00 999 1026.8  -1.6 999.0 999.0 99.0
1999 01 06 17 228  7.0  7.7 99.00 99.00 99.00 999 1025.6  -1.6 999.0 999.0 99.0
1999 01 06 18 208  7.9  8.9 99.00 99.00 99.00 999 1024.2   -.9 999.0 999.0 99.0
1999 01 06 19 214  7.5  9.5 99.00 99.00 99.00 999 1023.1   -.4 999.0 999.0 99.0
1999 01 06 20 214 12.6 13.9 99.00 99.00 99.00 999 1022.5    .7 999.0 999.0 99.0
1999 01 06 21 218 14.9 16.6 99.00 99.00 99.00 999 1022.4   1.1 999.0 999.0 99.0
1999 01 06 22 216 14.6 15.8 99.00 99.00 99.00 999 1021.7   1.1 999.0 999.0 99.0
1999 01 06 23 209 14.2 15.0 99.00 99.00 99.00 999 1021.3   1.0 999.0 999.0 99.0
1999 01 07 00 210 16.7 19.7 99.00 99.00 99.00 999 1020.5   2.5 999.0 999.0 99.0
1999 01 07 01 208 16.1 18.2 99.00 99.00 99.00 999 1019.5   3.2 999.0 999.0 99.0
1999 01 07 02 231 15.6 16.6 99.00 99.00 99.00 999 1018.7   4.0 999.0 999.0 99.0
1999 01 07 03 244 14.7 17.0 99.00 99.00 99.00 999 1018.7   3.2 999.0 999.0 99.0
1999 01 07 04 236 14.4 15.6 99.00 99.00 99.00 999 1018.3   3.2 999.0 999.0 99.0
1999 01 07 05 242 15.0 16.6 99.00 99.00 99.00 999 1018.1   3.0 999.0 999.0 99.0
1999 01 07 06 239 14.7 16.5 99.00 99.00 99.00 999 1017.5   3.3 999.0 999.0 99.0
1999 01 07 07 237 12.6 13.7 99.00 99.00 99.00 999 1017.4   3.3 999.0 999.0 99.0
1999 01 07 08 232 11.7 13.5 99.00 99.00 99.00 999 1016.5   3.3 999.0 999.0 99.0
1999 01 07 09 230 13.2 14.4 99.00 99.00 99.00 999 1015.0   4.2 999.0 999.0 99.0
1999 01 07 10 250 15.4 16.4 99.00 99.00 99.00 999 1015.6   3.3 999.0 999.0 99.0
1999 01 07 11 248 13.1 14.2 99.00 99.00 99.00 999 1016.5    .9 999.0 999.0 99.0
1999 01 07 12 243 11.9 13.6 99.00 99.00 99.00 999 1017.3    .7 999.0 999.0 99.0
1999 01 07 13 246 12.7 13.8 99.00 99.00 99.00 999 1017.7    .9 999.0 999.0 99.0
1999 01 07 14 259 13.3 16.0 99.00 99.00 99.00 999 1018.3   1.9 999.0 999.0 99.0
1999 01 07 15 273 11.1 13.7 99.00 99.00 99.00 999 1019.4   1.2 999.0 999.0 99.0
1999 01 07 16 289 12.0 12.9 99.00 99.00 99.00 999 1019.7    .6 999.0 999.0 99.0
1999 01 07 17 278 11.6 14.1 99.00 99.00 99.00 999 1019.6    .2 999.0 999.0 99.0
1999 01 07 18 300 12.5 13.9 99.00 99.00 99.00 999 1020.1   -.7 999.0 999.0 99.0
1999 01 07 19 283 11.6 13.0 99.00 99.00 99.00 999 1021.6   -.8 999.0 999.0 99.0
1999 01 07 20 302 11.0 12.8 99.00 99.00 99.00 999 1022.5  -1.0 999.0 999.0 99.0
1999 01 07 21 299  9.5 11.0 99.00 99.00 99.00 999 1024.0  -1.3 999.0 999.0 99.0
1999 01 07 22 298 10.8 12.0 99.00 99.00 99.00 999 1025.2  -1.6 999.0 999.0 99.0
1999 01 07 23 306  9.7 11.2 99.00 99.00 99.00 999 1026.3  -2.1 999.0 999.0 99.0
1999 01 08 00 307  8.0  9.4 99.00 99.00 99.00 999 1027.6  -2.3 999.0 999.0 99.0
1999 01 08 01 323  7.1  8.0 99.00 99.00 99.00 999 1028.7  -2.9 999.0 999.0 99.0
1999 01 08 02 319  5.9  6.6 99.00 99.00 99.00 999 1029.7  -3.5 999.0 999.0 99.0
1999 01 08 03 318  3.8  5.0 99.00 99.00 99.00 999 1030.4  -3.8 999.0 999.0 99.0
